zeta,Hrms,Hs,L0,Lp,tanbeta,D50 mm
1.0259,2.59361,3.667918438,172.4237023,190.8850983,0.06,0.22
1.04731,2.3379,3.306289887,115.5757545,127.950444,0.06,0.22
1.04812,1.94825,2.755241573,219.9337149,243.4820053,0.06,0.22
1.05066,2.73364,3.865950763,188.3119605,208.4745114,0.06,0.22
1.05437,2.9589,4.18451651,77.44533064,85.7373978,0.06,0.22
1.062,1.30289,1.842564708,192.2675171,212.8535892,0.06,0.22
1.0808,2.29528,3.246016105,247.2536121,273.7270423,0.06,0.22
1.08762,3.03196,4.287838953,181.4800432,200.9111012,0.06,0.22
1.09259,2.6484,3.745403199,186.7340411,206.7276443,0.06,0.22
1.10541,2.50837,3.547370873,279.9647979,309.9406129,0.06,0.22
1.11022,2.20396,3.116870123,179.3724534,198.5778518,0.06,0.22
1.1121,1.30289,1.842564708,154.7505625,171.3196964,0.06,0.22
1.11224,3.23896,4.58058116,161.7019384,179.0153557,0.06,0.22
1.13843,2.69102,3.805676981,212.9816813,235.7856179,0.06,0.22
1.14317,2.42314,3.426837452,171.1939505,189.5236771,0.06,0.22
1.14719,2.49619,3.530145752,192.2982804,212.8876464,0.06,0.22
1.16087,1.94216,2.746629012,260.1122289,287.9624305,0.06,0.22
1.16638,1.30289,1.842564708,250.1001942,276.8784078,0.06,0.22
1.17295,2.15525,3.04798378,86.14679318,95.37052544,0.06,0.22
1.17621,2.59361,3.667918438,95.48468028,105.7082196,0.06,0.22
1.19001,1.98478,2.806902794,109.1699836,120.8588075,0.06,0.22
1.21672,3.19026,4.511708959,224.7221371,248.7831236,0.06,0.22
1.24819,2.11872,2.996322559,327.1242081,362.1493785,0.06,0.22
1.2543,3.19026,4.511708959,96.62717341,106.9730394,0.06,0.22
1.27055,1.40639,1.988935812,166.0603651,183.8404389,0.06,0.22
1.28573,2.13699,3.022160241,131.1773571,145.2225093,0.06,0.22
1.31092,2.07002,2.927450358,138.6857094,153.5347805,0.06,0.22
1.35169,2.53881,3.590419534,166.3986607,184.2149558,0.06,0.22
1.35223,2.28311,3.228805126,218.5907223,241.9952186,0.06,0.22
1.36106,2.05175,2.901612677,126.1415249,139.6474908,0.06,0.22
1.38018,2.89193,4.089806627,212.9147649,235.7115367,0.06,0.22
1.43464,2.8067,3.969273206,207.9703681,230.2377436,0.06,0.22
1.44799,2.41096,3.40961233,191.3578129,211.8464831,0.06,0.22
1.47612,2.94064,4.15869297,216.8451439,240.0627412,0.06,0.22
1.50504,3.08676,4.365337856,137.7699464,152.5209667,0.06,0.22
1.51099,2.2344,3.159918784,307.7752109,340.7286853,0.06,0.22
1.51317,3.19026,4.511708959,228.4149349,252.871309,0.06,0.22
1.52612,2.98935,4.227579313,217.3840352,240.6593315,0.06,0.22
1.55972,2.89193,4.089806627,209.8710882,232.3419737,0.06,0.22
1.58476,2.89802,4.098419188,219.8808656,243.4234975,0.06,0.22
1.76829,2.98935,4.227579313,224.7293094,248.7910638,0.06,0.22
1.77258,2.93455,4.150080409,219.6818368,243.2031586,0.06,0.22
