literature,R2%,setup,Stt,Sinc,Sig,Hs(80m or offshore),Tp,tan,D50,dataset,Hs0,L0
Gomes da Silva et al. 2018,0.848 ,0.211 ,1.071 ,1.010 ,0.346 ,0.280 ,10.779 ,0.101 ,0.280 ,"Somo beach, Spain",0.284737299,181.3399452
Gomes da Silva et al. 2018,0.738 ,0.178 ,1.073 ,0.718 ,0.794 ,0.566 ,10.779 ,0.045 ,0.340 ,"Somo beach, Spain",0.575576112,181.3399452
Gomes da Silva et al. 2018,0.729 ,0.166 ,1.075 ,0.866 ,0.618 ,0.489 ,10.779 ,0.045 ,0.340 ,"Somo beach, Spain",0.497273355,181.3399452
Gomes da Silva et al. 2018,0.635 ,0.156 ,1.109 ,0.848 ,0.684 ,0.458 ,12.047 ,0.046 ,0.340 ,"Somo beach, Spain",0.474652695,226.5180852
Gomes da Silva et al. 2018,0.592 ,0.163 ,0.946 ,0.757 ,0.530 ,0.476 ,12.047 ,0.046 ,0.340 ,"Somo beach, Spain",0.493307168,226.5180852
Gomes da Silva et al. 2018,0.638 ,0.248 ,0.762 ,0.536 ,0.523 ,0.636 ,11.378 ,0.044 ,0.340 ,"Somo beach, Spain",0.652185741,202.0485409
Gomes da Silva et al. 2018,0.721 ,0.242 ,0.891 ,0.679 ,0.554 ,0.598 ,12.800 ,0.046 ,0.340 ,"Somo beach, Spain",0.627448656,255.7176746
Gomes da Silva et al. 2018,0.638 ,0.236 ,0.748 ,0.597 ,0.425 ,0.507 ,11.378 ,0.044 ,0.340 ,"Somo beach, Spain",0.519902784,202.0485409
Gomes da Silva et al. 2018,0.653 ,0.274 ,0.808 ,0.628 ,0.489 ,0.440 ,12.047 ,0.044 ,0.340 ,"Somo beach, Spain",0.455998222,226.5180852
Gomes da Silva et al. 2018,0.690 ,0.281 ,0.858 ,0.618 ,0.573 ,0.505 ,12.800 ,0.045 ,0.340 ,"Somo beach, Spain",0.529868848,255.7176746
Gomes da Silva et al. 2018,0.729 ,0.233 ,1.349 ,0.933 ,0.953 ,0.551 ,12.800 ,0.047 ,0.340 ,"Somo beach, Spain",0.578134129,255.7176746
Gomes da Silva et al. 2018,0.725 ,0.179 ,1.142 ,0.846 ,0.743 ,0.536 ,12.047 ,0.046 ,0.340 ,"Somo beach, Spain",0.555488744,226.5180852
Gomes da Silva et al. 2018,0.772 ,0.235 ,0.964 ,0.790 ,0.509 ,0.505 ,12.800 ,0.046 ,0.340 ,"Somo beach, Spain",0.529868848,255.7176746
Gomes da Silva et al. 2018,0.536 ,-0.174 ,0.985 ,0.456 ,0.870 ,0.502 ,12.800 ,0.053 ,0.350 ,"Somo beach, Spain",0.526721112,255.7176746
Gomes da Silva et al. 2018,0.472 ,-0.178 ,0.892 ,0.591 ,0.663 ,0.512 ,12.800 ,0.055 ,0.350 ,"Somo beach, Spain",0.537213565,255.7176746
Gomes da Silva et al. 2018,0.555 ,-0.198 ,0.933 ,0.636 ,0.671 ,0.539 ,12.800 ,0.055 ,0.350 ,"Somo beach, Spain",0.565543186,255.7176746
Gomes da Silva et al. 2018,0.614 ,-0.117 ,0.902 ,0.586 ,0.671 ,0.560 ,12.047 ,0.058 ,0.350 ,"Somo beach, Spain",0.580361374,226.5180852
Gomes da Silva et al. 2018,0.632 ,-0.129 ,0.892 ,0.669 ,0.578 ,0.430 ,12.800 ,0.058 ,0.350 ,"Somo beach, Spain",0.451175455,255.7176746
Gomes da Silva et al. 2018,0.676 ,-0.117 ,1.053 ,0.689 ,0.783 ,0.664 ,12.047 ,0.057 ,0.350 ,"Somo beach, Spain",0.688142772,226.5180852
Gomes da Silva et al. 2018,0.624 ,-0.129 ,1.109 ,0.766 ,0.782 ,0.502 ,12.800 ,0.057 ,0.350 ,"Somo beach, Spain",0.526721112,255.7176746
Gomes da Silva et al. 2018,0.635 ,-0.058 ,0.956 ,0.796 ,0.503 ,0.450 ,12.800 ,0.059 ,0.350 ,"Somo beach, Spain",0.47216036,255.7176746
Gomes da Silva et al. 2018,0.719 ,-0.032 ,0.973 ,0.633 ,0.729 ,0.553 ,12.047 ,0.058 ,0.350 ,"Somo beach, Spain",0.573106857,226.5180852
Gomes da Silva et al. 2018,0.662 ,-0.094 ,1.118 ,0.808 ,0.739 ,0.523 ,11.378 ,0.057 ,0.350 ,"Somo beach, Spain",0.536309973,202.0485409
Gomes da Silva et al. 2018,0.597 ,-0.187 ,0.753 ,0.464 ,0.585 ,0.652 ,12.800 ,0.054 ,0.350 ,"Somo beach, Spain",0.684107899,255.7176746
Gomes da Silva et al. 2018,0.639 ,-0.101 ,0.937 ,0.665 ,0.643 ,0.679 ,12.047 ,0.055 ,0.350 ,"Somo beach, Spain",0.703688166,226.5180852
Gomes da Silva et al. 2018,0.303 ,0.469 ,0.365 ,0.346 ,0.108 ,0.133 ,9.752 ,0.058 ,0.292 ,"Somo beach, Spain",0.133862722,148.4438216
Gomes da Silva et al. 2018,0.355 ,0.453 ,0.361 ,0.332 ,0.133 ,0.123 ,12.047 ,0.061 ,0.292 ,"Somo beach, Spain",0.12747223,226.5180852
Gomes da Silva et al. 2018,0.439 ,0.413 ,0.492 ,0.469 ,0.136 ,0.163 ,11.378 ,0.062 ,0.292 ,"Somo beach, Spain",0.167148232,202.0485409
Gomes da Silva et al. 2018,0.334 ,0.371 ,0.400 ,0.365 ,0.153 ,0.146 ,9.309 ,0.059 ,0.292 ,"Somo beach, Spain",0.146549744,135.2556293
Gomes da Silva et al. 2018,0.396 ,0.348 ,0.402 ,0.371 ,0.149 ,0.169 ,9.309 ,0.061 ,0.292 ,"Somo beach, Spain",0.169636347,135.2556293
Gomes da Silva et al. 2018,0.357 ,0.350 ,0.422 ,0.383 ,0.168 ,0.147 ,9.309 ,0.060 ,0.292 ,"Somo beach, Spain",0.147553509,135.2556293
Gomes da Silva et al. 2018,0.448 ,0.355 ,0.465 ,0.416 ,0.199 ,0.165 ,9.309 ,0.061 ,0.292 ,"Somo beach, Spain",0.165621286,135.2556293
Gomes da Silva et al. 2018,0.390 ,0.354 ,0.372 ,0.344 ,0.133 ,0.146 ,8.533 ,0.060 ,0.292 ,"Somo beach, Spain",0.146164371,113.6522989
Gomes da Silva et al. 2018,0.326 ,0.354 ,0.378 ,0.364 ,0.092 ,0.150 ,8.904 ,0.057 ,0.292 ,"Somo beach, Spain",0.150314744,123.7499515
Gomes da Silva et al. 2018,0.251 ,0.364 ,0.347 ,0.332 ,0.095 ,0.146 ,8.192 ,0.055 ,0.292 ,"Somo beach, Spain",0.146085058,104.7419595
Gomes da Silva et al. 2018,0.233 ,0.393 ,0.400 ,0.381 ,0.111 ,0.159 ,9.309 ,0.057 ,0.292 ,"Somo beach, Spain",0.159598694,135.2556293
Gomes da Silva et al. 2018,0.255 ,0.393 ,0.555 ,0.526 ,0.162 ,0.172 ,8.192 ,0.059 ,0.292 ,"Somo beach, Spain",0.172100206,104.7419595
Gomes da Silva et al. 2018,0.318 ,0.216 ,0.563 ,0.473 ,0.300 ,0.195 ,10.240 ,0.060 ,0.292 ,"Somo beach, Spain",0.197089996,163.6593118
Gomes da Silva et al. 2018,0.335 ,0.228 ,0.581 ,0.427 ,0.391 ,0.240 ,10.240 ,0.059 ,0.292 ,"Somo beach, Spain",0.242572302,163.6593118
Gomes da Silva et al. 2018,0.316 ,0.197 ,0.628 ,0.564 ,0.264 ,0.239 ,10.240 ,0.062 ,0.292 ,"Somo beach, Spain",0.241561584,163.6593118
Gomes da Silva et al. 2018,0.356 ,0.172 ,0.637 ,0.541 ,0.329 ,0.238 ,10.240 ,0.066 ,0.292 ,"Somo beach, Spain",0.240550867,163.6593118
Gomes da Silva et al. 2018,0.317 ,0.160 ,0.900 ,0.760 ,0.476 ,0.289 ,10.240 ,0.071 ,0.292 ,"Somo beach, Spain",0.292097481,163.6593118
Gomes da Silva et al. 2018,0.495 ,0.103 ,1.096 ,0.958 ,0.518 ,0.261 ,10.240 ,0.074 ,0.292 ,"Somo beach, Spain",0.263797379,163.6593118
ATKINSON2017,1.979,NAN,NAN,NAN,NAN,0.739476577,6.4,0.102,0.445,AUSTINMER,0.739476577,63.92941866
ATKINSON2017,1.862,NAN,NAN,NAN,NAN,0.729346761,6.4,0.101,0.445,AUSTINMER,0.729346761,63.92941866
ATKINSON2017,1.695,NAN,NAN,NAN,NAN,0.729346761,6.4,0.115,0.445,AUSTINMER,0.729346761,63.92941866
ATKINSON2017,1.604,NAN,NAN,NAN,NAN,0.719216945,6.4,0.115,0.445,AUSTINMER,0.719216945,63.92941866
ATKINSON2017,1.515,NAN,NAN,NAN,NAN,0.719216945,6.4,0.115,0.445,AUSTINMER,0.719216945,63.92941866
ATKINSON2017,1.983,NAN,NAN,NAN,NAN,0.790966545,8.6,0.073,0.511,BEARES,0.790966545,115.4350538
ATKINSON2017,2.018,NAN,NAN,NAN,NAN,0.790966545,8.6,0.071,0.511,BEARES,0.790966545,115.4350538
ATKINSON2017,1.933,NAN,NAN,NAN,NAN,0.790966545,8.6,0.072,0.511,BEARES,0.790966545,115.4350538
ATKINSON2017,2.087,NAN,NAN,NAN,NAN,0.790966545,8.6,0.073,0.511,BEARES,0.790966545,115.4350538
ATKINSON2017,1.995,NAN,NAN,NAN,NAN,0.790966545,8.6,0.072,0.511,BEARES,0.790966545,115.4350538
ATKINSON2017,2.042,NAN,NAN,NAN,NAN,0.790966545,8.6,0.073,0.511,BEARES,0.790966545,115.4350538
ATKINSON2017,2.095,NAN,NAN,NAN,NAN,0.780277807,8.6,0.073,0.511,BEARES,0.780277807,115.4350538
ATKINSON2017,2.108,NAN,NAN,NAN,NAN,0.780277807,8.6,0.073,0.511,BEARES,0.780277807,115.4350538
ATKINSON2017,2.104,NAN,NAN,NAN,NAN,0.780277807,8.6,0.074,0.511,BEARES,0.780277807,115.4350538
ATKINSON2017,2.614,NAN,NAN,NAN,NAN,0.885225264,8.5,0.15,0.426,MOLLYMOOK,0.885225264,112.7661254
ATKINSON2017,2.619,NAN,NAN,NAN,NAN,0.885225264,8.5,0.153,0.426,MOLLYMOOK,0.885225264,112.7661254
ATKINSON2017,2.695,NAN,NAN,NAN,NAN,0.885225264,8.5,0.194,0.426,MOLLYMOOK,0.885225264,112.7661254
ATKINSON2017,2.537,NAN,NAN,NAN,NAN,0.885225264,8.5,0.163,0.426,MOLLYMOOK,0.885225264,112.7661254
ATKINSON2017,2.384,NAN,NAN,NAN,NAN,0.895890629,8.5,0.151,0.426,MOLLYMOOK,0.895890629,112.7661254
ATKINSON2017,2.378,NAN,NAN,NAN,NAN,0.895890629,8.5,0.15,0.426,MOLLYMOOK,0.895890629,112.7661254
ATKINSON2017,2.209,NAN,NAN,NAN,NAN,0.895890629,8.5,0.149,0.426,MOLLYMOOK,0.895890629,112.7661254
ATKINSON2017,1.973,NAN,NAN,NAN,NAN,0.895890629,8.5,0.151,0.426,MOLLYMOOK,0.895890629,112.7661254
ATKINSON2017,1.836,NAN,NAN,NAN,NAN,0.906555994,8.5,0.148,0.426,MOLLYMOOK,0.906555994,112.7661254
ATKINSON2017,1.844,NAN,NAN,NAN,NAN,0.906555994,8.5,0.149,0.426,MOLLYMOOK,0.906555994,112.7661254
ATKINSON2017,1.69,NAN,NAN,NAN,NAN,1.190508962,7,0.089,0.29,TATHRA,1.190508962,76.47806431
ATKINSON2017,1.64,NAN,NAN,NAN,NAN,1.190508962,7,0.089,0.29,TATHRA,1.190508962,76.47806431
ATKINSON2017,1.771,NAN,NAN,NAN,NAN,1.169982945,7,0.087,0.29,TATHRA,1.169982945,76.47806431
ATKINSON2017,1.795,NAN,NAN,NAN,NAN,1.169982945,7,0.077,0.29,TATHRA,1.169982945,76.47806431
ATKINSON2017,1.598,NAN,NAN,NAN,NAN,1.159719937,7,0.08,0.29,TATHRA,1.159719937,76.47806431
ATKINSON2017,1.735,NAN,NAN,NAN,NAN,1.159719937,7,0.085,0.29,TATHRA,1.159719937,76.47806431
ATKINSON2017,1.636,NAN,NAN,NAN,NAN,1.149456929,7,0.083,0.29,TATHRA,1.149456929,76.47806431
ATKINSON2017,1.779,NAN,NAN,NAN,NAN,1.13919392,7,0.076,0.29,TATHRA,1.13919392,76.47806431
ATKINSON2017,1.629,NAN,NAN,NAN,NAN,1.13919392,7,0.073,0.29,TATHRA,1.13919392,76.47806431
ATKINSON2017,1.661,NAN,NAN,NAN,NAN,0.574728464,7,0.052,0.511,WERRI,0.574728464,76.47806431
ATKINSON2017,1.735,NAN,NAN,NAN,NAN,0.574728464,7,0.055,0.511,WERRI,0.574728464,76.47806431
ATKINSON2017,1.693,NAN,NAN,NAN,NAN,0.564465456,7,0.055,0.511,WERRI,0.564465456,76.47806431
ATKINSON2017,1.677,NAN,NAN,NAN,NAN,0.564465456,7,0.054,0.511,WERRI,0.564465456,76.47806431
ATKINSON2017,1.594,NAN,NAN,NAN,NAN,0.564465456,7,0.051,0.511,WERRI,0.564465456,76.47806431
ATKINSON2017,1.722,NAN,NAN,NAN,NAN,0.564465456,7,0.056,0.511,WERRI,0.564465456,76.47806431
ATKINSON2017,1.716,NAN,NAN,NAN,NAN,0.554202448,7,0.055,0.511,WERRI,0.554202448,76.47806431
ATKINSON2017,1.77,NAN,NAN,NAN,NAN,0.554202448,7,0.057,0.511,WERRI,0.554202448,76.47806431
ATKINSON2017,1.625,NAN,NAN,NAN,NAN,0.554202448,7,0.053,0.511,WERRI,0.554202448,76.47806431
ATKINSON2017,1.549,NAN,NAN,NAN,NAN,0.554202448,7,0.053,0.511,WERRI,0.554202448,76.47806431
ATKINSON2017,1.553,NAN,NAN,NAN,NAN,0.554202448,7,0.053,0.511,WERRI,0.554202448,76.47806431
ATKINSON2017,1.453,NAN,NAN,NAN,NAN,0.554202448,7,0.053,0.511,WERRI,0.554202448,76.47806431
ATKINSON2017,1.73,NAN,NAN,NAN,NAN,0.671180572,9.3,0.094,0.511,WERRI,0.671180572,134.9915874
ATKINSON2017,1.736,NAN,NAN,NAN,NAN,0.714482544,9.3,0.093,0.511,WERRI,0.714482544,134.9915874
ATKINSON2017,1.689,NAN,NAN,NAN,NAN,0.746959023,9.3,0.097,0.511,WERRI,0.746959023,134.9915874
ATKINSON2017,1.529,NAN,NAN,NAN,NAN,0.746959023,9.3,0.091,0.511,WERRI,0.746959023,134.9915874
ATKINSON2017,1.467,NAN,NAN,NAN,NAN,0.737522859,8.6,0.094,0.511,WERRI,0.737522859,115.4350538
ATKINSON2017,1.3,NAN,NAN,NAN,NAN,0.737522859,8.6,0.094,0.511,WERRI,0.737522859,115.4350538
ATKINSON2017,1.051,NAN,NAN,NAN,NAN,0.726834122,8.6,0.102,0.511,WERRI,0.726834122,115.4350538
ATKINSON2017,0.982,NAN,NAN,NAN,NAN,0.726834122,8.6,0.101,0.511,WERRI,0.726834122,115.4350538
ATKINSON2017,0.712,NAN,NAN,NAN,NAN,0.726834122,8.6,0.108,0.511,WERRI,0.726834122,115.4350538
ATKINSON2017,0.552,NAN,NAN,NAN,NAN,0.726834122,8.6,0.105,0.511,WERRI,0.726834122,115.4350538
ATKINSON2017,0.478,NAN,NAN,NAN,NAN,0.725244795,8.5,0.072,0.511,WERRI,0.725244795,112.7661254
ATKINSON2017,0.557,NAN,NAN,NAN,NAN,0.725244795,8.5,0.073,0.511,WERRI,0.725244795,112.7661254
ATKINSON2017,0.705,NAN,NAN,NAN,NAN,0.73591016,8.5,0.072,0.511,WERRI,0.73591016,112.7661254
ATKINSON2017,0.688,NAN,NAN,NAN,NAN,0.73591016,8.5,0.074,0.511,WERRI,0.73591016,112.7661254
ATKINSON2017,1.672,NAN,NAN,NAN,NAN,0.921813267,6.4,0.113,0.346,WONONA,0.921813267,63.92941866
ATKINSON2017,1.555,NAN,NAN,NAN,NAN,0.921813267,6.4,0.11,0.346,WONONA,0.921813267,63.92941866
ATKINSON2017,1.397,NAN,NAN,NAN,NAN,0.921813267,6.4,0.113,0.346,WONONA,0.921813267,63.92941866
ATKINSON2017,1.245,NAN,NAN,NAN,NAN,0.921813267,6.4,0.118,0.346,WONONA,0.921813267,63.92941866
ATKINSON2017,1.038,NAN,NAN,NAN,NAN,0.931943083,6.4,0.119,0.346,WONONA,0.931943083,63.92941866
ATKINSON2017,0.923,NAN,NAN,NAN,NAN,0.931943083,6.4,0.12,0.346,WONONA,0.931943083,63.92941866
ATKINSON2017,1.061,NAN,NAN,NAN,NAN,0.931943083,6.4,0.118,0.346,WONONA,0.931943083,63.92941866
ATKINSON2017,0.97,NAN,NAN,NAN,NAN,0.931943083,6.4,0.119,0.346,WONONA,0.931943083,63.92941866
ATKINSON2017,0.56,NAN,NAN,NAN,NAN,0.931943083,6.4,0.093,0.346,WONONA,0.931943083,63.92941866
ATKINSON2017,0.548,NAN,NAN,NAN,NAN,0.931943083,6.4,0.098,0.346,WONONA,0.931943083,63.92941866
ATKINSON2017,0.558,NAN,NAN,NAN,NAN,0.931943083,6.4,0.094,0.346,WONONA,0.931943083,63.92941866
ATKINSON2017,0.611,NAN,NAN,NAN,NAN,0.921813267,6.4,0.102,0.346,WONONA,0.921813267,63.92941866
NICOLAE-LERMA2017,1.7572,NAN,NAN,NAN,NAN,3.3,13.3,0.06,0.35,TRUCVERT,3.3,276.0858122
NICOLAE-LERMA2017,1.7026,NAN,NAN,NAN,NAN,3.09,14.2,0.06,0.35,TRUCVERT,3.09,314.7150385
NICOLAE-LERMA2017,1.6388,NAN,NAN,NAN,NAN,3.14,14.1,0.0647,0.35,TRUCVERT,3.14,310.2980401
NICOLAE-LERMA2017,1.714,NAN,NAN,NAN,NAN,3.19,14,0.0662,0.35,TRUCVERT,3.19,305.9122572
NICOLAE-LERMA2017,1.76,NAN,NAN,NAN,NAN,3.24,14.1,0.0695,0.35,TRUCVERT,3.24,310.2980401
NICOLAE-LERMA2017,2.128,NAN,NAN,NAN,NAN,3.28,14.1,0.0678,0.35,TRUCVERT,3.28,310.2980401
NICOLAE-LERMA2017,2.092,NAN,NAN,NAN,NAN,3.32,14.2,0.0716,0.35,TRUCVERT,3.32,314.7150385
NICOLAE-LERMA2017,2.1832,NAN,NAN,NAN,NAN,3.36,14.2,0.0716,0.35,TRUCVERT,3.36,314.7150385
NICOLAE-LERMA2017,2.3128,NAN,NAN,NAN,NAN,6.37,14.3,0.0662,0.35,TRUCVERT,6.37,319.1632525
NICOLAE-LERMA2017,2.4146,NAN,NAN,NAN,NAN,6.27,14.4,0.0754,0.35,TRUCVERT,6.27,323.6426819
NICOLAE-LERMA2017,2.8616,NAN,NAN,NAN,NAN,6.17,14.4,0.0806,0.35,TRUCVERT,6.17,323.6426819
NICOLAE-LERMA2017,1.702,NAN,NAN,NAN,NAN,3.2,13.8,0.0806,0.35,TRUCVERT,3.2,297.2343381
NICOLAE-LERMA2017,2.23,NAN,NAN,NAN,NAN,5.23,15.8,0.0625,0.35,TRUCVERT,5.23,389.632326
NICOLAE-LERMA2017,2.278,NAN,NAN,NAN,NAN,5.08,16.3,0.0652,0.35,TRUCVERT,5.08,414.682794
NICOLAE-LERMA2017,2.26,NAN,NAN,NAN,NAN,5.05,15.9,0.0675,0.35,TRUCVERT,5.05,394.5799885
NICOLAE-LERMA2017,2.2442,NAN,NAN,NAN,NAN,5.01,15.6,0.0675,0.35,TRUCVERT,5.01,379.8306476
NICOLAE-LERMA2017,2.3,NAN,NAN,NAN,NAN,4.85,16,0.069,0.35,TRUCVERT,4.85,399.5588666
POATE2016,4.462287923,NAN,NAN,NAN,NAN,2.594366667,8.794866667,0.236409581,50,CHESIL,2.594366667,120.7255873
POATE2016,4.340536317,NAN,NAN,NAN,NAN,2.594366667,8.794866667,0.236409581,50,CHESIL,2.594366667,120.7255873
POATE2016,4.403388964,NAN,NAN,NAN,NAN,2.594366667,8.794866667,0.236409581,50,CHESIL,2.594366667,120.7255873
POATE2016,4.231291272,NAN,NAN,NAN,NAN,2.594366667,8.794866667,0.236409581,50,CHESIL,2.594366667,120.7255873
POATE2016,3.898736501,NAN,NAN,NAN,NAN,2.68825,8.371799999,0.236409581,50,CHESIL,2.68825,109.3902201
POATE2016,3.932279535,NAN,NAN,NAN,NAN,2.68825,8.371799999,0.236409581,50,CHESIL,2.68825,109.3902201
POATE2016,4.18860377,NAN,NAN,NAN,NAN,2.68825,8.371799999,0.236409581,50,CHESIL,2.68825,109.3902201
POATE2016,4.279055366,NAN,NAN,NAN,NAN,2.68825,8.371799999,0.236409581,50,CHESIL,2.68825,109.3902201
POATE2016,4.916073561,NAN,NAN,NAN,NAN,2.788333334,8.878888891,0.235767729,50,CHESIL,2.788333334,123.0433225
POATE2016,4.717046511,NAN,NAN,NAN,NAN,2.788333334,8.878888891,0.235767729,50,CHESIL,2.788333334,123.0433225
POATE2016,4.476169512,NAN,NAN,NAN,NAN,2.788333334,8.878888891,0.235767729,50,CHESIL,2.788333334,123.0433225
POATE2016,4.424473247,NAN,NAN,NAN,NAN,2.788333334,8.878888891,0.235767729,50,CHESIL,2.788333334,123.0433225
POATE2016,4.486370854,NAN,NAN,NAN,NAN,2.826111111,9.443888891,0.235767729,50,CHESIL,2.826111111,139.2010608
POATE2016,3.930011716,NAN,NAN,NAN,NAN,2.826111111,9.443888891,0.235767729,50,CHESIL,2.826111111,139.2010608
POATE2016,4.307902673,NAN,NAN,NAN,NAN,2.826111111,9.443888891,0.235767729,50,CHESIL,2.826111111,139.2010608
POATE2016,4.46814549,NAN,NAN,NAN,NAN,2.826111111,9.443888891,0.235767729,50,CHESIL,2.826111111,139.2010608
POATE2016,3.473572941,NAN,NAN,NAN,NAN,2.801483334,9.948938891,0.231987355,50,CHESIL,2.801483334,154.4878517
POATE2016,3.600540364,NAN,NAN,NAN,NAN,2.801483334,9.948938891,0.231987355,50,CHESIL,2.801483334,154.4878517
POATE2016,3.928378985,NAN,NAN,NAN,NAN,2.801483334,9.948938891,0.231987355,50,CHESIL,2.801483334,154.4878517
POATE2016,3.747548977,NAN,NAN,NAN,NAN,2.801483334,9.948938891,0.231987355,50,CHESIL,2.801483334,154.4878517
POATE2016,3.127550237,NAN,NAN,NAN,NAN,2.4904,9.109200001,0.231317119,50,CHESIL,2.4904,129.5093973
POATE2016,3.258886444,NAN,NAN,NAN,NAN,2.4904,9.109200001,0.231317119,50,CHESIL,2.4904,129.5093973
POATE2016,4.07919534,NAN,NAN,NAN,NAN,2.4904,9.109200001,0.231317119,50,CHESIL,2.4904,129.5093973
POATE2016,4.14830009,NAN,NAN,NAN,NAN,2.4904,9.109200001,0.231317119,50,CHESIL,2.4904,129.5093973
POATE2016,2.913545177,NAN,NAN,NAN,NAN,2.5104,10.0692,0.231133539,50,CHESIL,2.5104,158.2452715
POATE2016,3.300080283,NAN,NAN,NAN,NAN,2.5104,10.0692,0.231133539,50,CHESIL,2.5104,158.2452715
POATE2016,2.831988044,NAN,NAN,NAN,NAN,2.485333333,10.53,0.231015857,50,CHESIL,2.485333333,173.0603388
POATE2016,2.75193022,NAN,NAN,NAN,NAN,2.485333333,10.53,0.231015857,50,CHESIL,2.485333333,173.0603388
POATE2016,2.7662199,NAN,NAN,NAN,NAN,2.371555556,10.53,0.229670141,50,CHESIL,2.371555556,173.0603388
POATE2016,2.672425084,NAN,NAN,NAN,NAN,2.371555556,10.53,0.229670141,50,CHESIL,2.371555556,173.0603388
POATE2016,2.634993736,NAN,NAN,NAN,NAN,2.3382,9.944566669,0.229670141,50,CHESIL,2.3382,154.3520971
POATE2016,2.360706138,NAN,NAN,NAN,NAN,2.3382,9.944566669,0.229670141,50,CHESIL,2.3382,154.3520971
POATE2016,2.432171537,NAN,NAN,NAN,NAN,2.3382,9.944566669,0.229670141,50,CHESIL,2.3382,154.3520971
POATE2016,2.095126795,NAN,NAN,NAN,NAN,2.4182,7.371233329,0.229670141,50,CHESIL,2.4182,84.80493475
POATE2016,2.127668517,NAN,NAN,NAN,NAN,2.4182,7.371233329,0.229670141,50,CHESIL,2.4182,84.80493475
POATE2016,2.100548647,NAN,NAN,NAN,NAN,2.4182,7.371233329,0.229670141,50,CHESIL,2.4182,84.80493475
POATE2016,1.818498148,NAN,NAN,NAN,NAN,2.357455555,7.16526667,0.229670141,50,CHESIL,2.357455555,80.13191535
POATE2016,1.71758062,NAN,NAN,NAN,NAN,2.357455555,7.16526667,0.229670141,50,CHESIL,2.357455555,80.13191535
POATE2016,1.93823734,NAN,NAN,NAN,NAN,2.357455555,7.16526667,0.229670141,50,CHESIL,2.357455555,80.13191535
POATE2016,1.571404985,NAN,NAN,NAN,NAN,2.257777778,7.69,0.229670141,50,CHESIL,2.257777778,92.29825426
POATE2016,1.567187046,NAN,NAN,NAN,NAN,2.257777778,7.69,0.229670141,50,CHESIL,2.257777778,92.29825426
POATE2016,1.228728215,NAN,NAN,NAN,NAN,2.257777778,7.69,0.229670141,50,CHESIL,2.257777778,92.29825426
POATE2016,1.34699369,NAN,NAN,NAN,NAN,2.2044,7.69,0.229670141,50,CHESIL,2.2044,92.29825426
POATE2016,1.559521687,NAN,NAN,NAN,NAN,2.2044,7.69,0.229670141,50,CHESIL,2.2044,92.29825426
POATE2016,1.144368306,NAN,NAN,NAN,NAN,2.2044,7.69,0.229670141,50,CHESIL,2.2044,92.29825426
POATE2016,1.096487465,NAN,NAN,NAN,NAN,2.14615,7.193033331,0.229670141,50,CHESIL,2.14615,80.75416906
POATE2016,1.375517128,NAN,NAN,NAN,NAN,2.14615,7.193033331,0.229670141,50,CHESIL,2.14615,80.75416906
POATE2016,1.307650897,NAN,NAN,NAN,NAN,2.14615,7.193033331,0.229670141,50,CHESIL,2.14615,80.75416906
POATE2016,1.912770589,NAN,NAN,NAN,NAN,2.08295,6.742850001,0.229670141,50,CHESIL,2.08295,70.96231982
POATE2016,1.937631659,NAN,NAN,NAN,NAN,2.08295,6.742850001,0.229670141,50,CHESIL,2.08295,70.96231982
POATE2016,1.683393873,NAN,NAN,NAN,NAN,2.08295,6.742850001,0.229670141,50,CHESIL,2.08295,70.96231982
POATE2016,1.530485781,NAN,NAN,NAN,NAN,1.977666667,7.213383334,0.229670141,50,CHESIL,1.977666667,81.21174297
POATE2016,1.876807449,NAN,NAN,NAN,NAN,1.977666667,7.213383334,0.229670141,50,CHESIL,1.977666667,81.21174297
POATE2016,1.559237355,NAN,NAN,NAN,NAN,1.844333334,8.006716665,0.229670141,50,CHESIL,1.844333334,100.0575185
POATE2016,1.36379404,NAN,NAN,NAN,NAN,1.844333334,8.006716665,0.229670141,50,CHESIL,1.844333334,100.0575185
POATE2016,1.527400384,NAN,NAN,NAN,NAN,1.844333334,8.006716665,0.229670141,50,CHESIL,1.844333334,100.0575185
POATE2016,1.693712705,NAN,NAN,NAN,NAN,1.746488889,7.507244441,0.229670141,50,CHESIL,1.746488889,87.96338252
POATE2016,1.471030405,NAN,NAN,NAN,NAN,1.746488889,7.507244441,0.229670141,50,CHESIL,1.746488889,87.96338252
POATE2016,1.214252173,NAN,NAN,NAN,NAN,1.746488889,7.507244441,0.229670141,50,CHESIL,1.746488889,87.96338252
POATE2016,1.2363026,NAN,NAN,NAN,NAN,1.683111111,6.276133335,0.229670141,50,CHESIL,1.683111111,61.47876436
POATE2016,1.255035899,NAN,NAN,NAN,NAN,1.683111111,6.276133335,0.229670141,50,CHESIL,1.683111111,61.47876436
POATE2016,1.380270418,NAN,NAN,NAN,NAN,1.683111111,6.276133335,0.229670141,50,CHESIL,1.683111111,61.47876436
POATE2016,2.296794365,NAN,NAN,NAN,NAN,1.716472222,6.556366666,0.229670141,50,CHESIL,1.716472222,67.09146488
POATE2016,1.699609428,NAN,NAN,NAN,NAN,1.716472222,6.556366666,0.229670141,50,CHESIL,1.716472222,67.09146488
POATE2016,1.751466104,NAN,NAN,NAN,NAN,1.716472222,6.556366666,0.229670141,50,CHESIL,1.716472222,67.09146488
